time,temperature,pressure,humidity,particle1,particle2,particle3,speed,rain,direction
2023-11-16 21:12:30,11.67,864.82,57.64,17,30,30,0,0,
2023-11-16 21:27:30,11.39,864.78,58.35,16,25,27,0,0,
2023-11-16 21:42:30,10.94,864.49,66.08,28,47,49,0.6,0,S
2023-11-16 21:57:30,11.4,864.15,61.07,29,52,53,2.9,0,NE
2023-11-16 22:12:30,10.54,864.18,67.31,32,58,63,1.64,0,SW
2023-11-16 22:27:30,10.63,864.02,67.27,31,55,55,0.98,0,SE
2023-11-16 22:42:30,10.23,863.86,69.9,30,49,52,0,0,
2023-11-16 22:57:30,9.99,863.79,69.94,35,58,64,0,0,
2023-11-16 23:12:30,10.47,863.66,66.02,28,53,60,0.02,0,SE
2023-11-16 23:27:30,10.44,863.65,67.49,23,45,48,0.29,0,S
2023-11-16 23:42:30,10.57,863.4,67.81,38,63,64,0.75,0,S
2023-11-16 23:57:30,11.01,863.12,64.72,28,54,56,4.17,0,NE
2023-11-17 0:12:30,10.57,863.35,69.27,28,52,53,1.69,0,E
2023-11-17 0:27:30,10.76,863.18,67.32,30,57,62,0.74,0,SE
2023-11-17 0:42:30,10.43,863.04,69.9,28,55,59,0.61,0,SW
2023-11-17 0:57:30,10.69,863.14,67.48,29,53,54,1.88,0,E
2023-11-17 1:12:30,10.57,862.94,68.84,32,60,66,2.39,0,NE
2023-11-17 1:27:30,10.67,862.89,67.68,31,57,59,4.18,0,E
2023-11-17 1:42:30,10.69,862.3,67.57,29,50,52,1.7,0,E
2023-11-17 1:57:30,10.86,862.19,65.79,29,55,57,3.51,0,E
2023-11-17 2:12:30,10.6,862.48,66.57,24,44,46,0.55,0,S
2023-11-17 2:27:30,10.23,862.8,72.51,24,44,46,1.75,0,NE
2023-11-17 2:42:30,9.14,862.95,81.85,22,47,51,2.55,0.2794,N
2023-11-17 2:57:30,8.97,862.93,83.05,20,42,45,3.22,0.2794,NW
2023-11-17 3:12:30,9.14,863,81.84,18,32,32,3.01,0,NW
2023-11-17 3:27:30,8.79,862.93,84.79,18,36,38,2.05,0.2794,W
2023-11-17 3:42:30,8.67,862.65,87.28,16,32,33,1.33,0.5588,W
2023-11-17 3:57:30,8.79,862.58,87.08,14,26,26,1.47,0.2794,W
2023-11-17 4:12:30,8.38,862.76,91.44,14,28,29,0.65,0,NW
2023-11-17 4:27:30,8.29,863.34,93.26,15,27,29,0.42,0.5588,W
2023-11-17 4:42:30,8.12,863.69,94.44,13,22,22,1.93,1.1176,S
2023-11-17 4:57:30,7.75,863.66,95.81,10,20,20,3.18,0.5588,NW
2023-11-17 5:12:30,8.02,863.65,97.23,20,41,42,2.51,0,NE
2023-11-17 5:27:30,7.76,863.59,98.6,19,38,41,2.72,0.2794,NW
2023-11-17 5:42:30,7.46,863.92,98.91,13,29,30,2.13,0,NW
2023-11-17 5:57:30,6.36,864.51,97.59,6,12,13,2.63,0,NE
2023-11-17 6:12:30,5.62,864.83,98.2,2,5,5,2.57,0.2794,N
2023-11-17 6:27:30,5.44,865.17,98.07,1,3,3,2.58,0,N
2023-11-17 6:42:30,5.39,864.81,97.93,1,1,1,2.54,0,N
2023-11-17 6:57:30,5.44,865.19,97.16,1,2,2,2.07,0,NW
2023-11-17 7:12:30,5.51,865.95,97.72,1,3,3,1.53,0,NE
2023-11-17 7:27:30,5.43,866.27,97.04,1,2,2,2.69,0,N
2023-11-17 7:42:30,5.51,866.3,94.38,0,1,1,2.82,0,N
2023-11-17 7:57:30,5.49,865.93,94.31,2,3,3,1.72,0,NE
2023-11-17 8:12:30,5.51,866.06,94.74,2,3,3,1.46,0,N
2023-11-17 8:27:30,5.57,866.16,96.29,3,5,5,2.52,0,N
2023-11-17 8:42:30,5.73,866.4,96.8,7,10,10,2.32,0,NW
2023-11-17 8:57:30,5.96,866.81,94.22,4,7,7,2.71,0,NW
2023-11-17 9:12:30,6.02,866.89,92.73,1,2,2,2.13,0,NW
2023-11-17 9:27:30,6.15,866.99,91.88,2,3,3,1.46,0,NW
2023-11-17 9:42:30,6.29,867.31,89.92,2,3,3,2.01,0,W
2023-11-17 9:57:30,6.85,867.23,86.12,3,4,4,1.29,0,N
2023-11-17 10:12:30,7.24,867.13,84.41,3,5,5,1.95,0,NE
2023-11-17 10:27:30,7.56,867.27,83.18,23,34,36,1.71,0,NW
2023-11-17 10:42:30,7.96,867.32,81.59,4,7,7,2.62,0,NE
2023-11-17 10:57:30,8.29,867.45,78.72,2,2,2,2.97,0,NE
2023-11-17 11:12:30,8.29,867.64,77.97,3,4,5,2.05,0,N
2023-11-17 11:27:30,8.77,867.82,74.53,3,6,7,2.46,0,N
2023-11-17 11:42:30,9.52,867.78,73.33,5,6,7,2.97,0,N
2023-11-17 11:57:30,11.56,867.69,67.31,8,13,15,2.57,0,N
2023-11-17 12:12:30,11.85,867.6,60.92,20,27,29,3.2,0,N
2023-11-17 12:27:30,12.15,867.59,55.77,4,6,6,3.17,0,S
2023-11-17 12:42:30,12.46,867.69,51.92,4,5,5,4.1,0,S
2023-11-17 12:57:30,11.78,867.61,49.54,1,3,4,4.5,0,S
2023-11-17 13:12:30,12.96,867.57,42.54,2,2,2,4.64,0,S
2023-11-17 13:27:30,10.53,867.67,47.04,0,1,1,7.44,0,S
2023-11-17 13:42:30,11.6,867.74,47.74,0,0,0,5.18,0,S
2023-11-17 13:57:30,10.15,867.95,56.83,1,2,2,4.18,0,W
2023-11-17 14:12:30,9.91,867.86,54.23,2,2,2,2.28,0,W
2023-11-17 14:27:30,11.17,867.96,53.96,1,2,2,3.34,0,W
2023-11-17 14:42:30,13.12,868,46.36,0,1,1,3.77,0,SW
2023-11-17 14:57:30,12.72,867.82,43.63,0,1,1,4.27,0,S
2023-11-17 15:12:30,10.83,867.89,48.39,1,1,2,2.82,0,W
2023-11-17 15:27:30,11.12,867.91,40.86,0,1,1,4.26,0,S
2023-11-17 15:42:30,10.99,868.14,37.45,0,0,0,6.19,0.2794,S
2023-11-17 15:57:30,11.32,868.42,37.44,0,1,1,4.72,0,SW
2023-11-17 16:12:30,11.16,868.48,33.97,2,3,4,5.01,0,S
2023-11-17 16:27:30,9.91,868.53,35.13,0,0,0,5.44,0,SW
2023-11-17 16:42:30,9.64,868.85,35.7,1,2,2,4.12,0,SW
2023-11-17 16:57:30,9.87,868.87,36.75,1,1,1,2.58,0,S
2023-11-17 17:12:30,9.51,868.91,39.28,2,4,6,2.18,0,S
2023-11-17 17:27:30,9.02,868.96,40.44,4,4,4,1.67,0,SW
2023-11-17 17:42:30,8.13,868.94,42.74,3,3,4,0.3,0,SE
2023-11-17 17:57:30,7.75,868.94,45.35,9,14,14,0.33,0,S
2023-11-17 18:12:30,7.79,868.92,43.77,3,4,4,0.07,0,S
2023-11-17 18:27:30,7.66,868.93,43.44,4,6,7,0,0,
2023-11-17 18:42:30,6.78,869.07,47.75,5,7,7,0,0,
2023-11-17 18:57:30,6.88,868.91,45.83,4,6,7,0,0,
2023-11-17 19:12:30,7.24,869.06,48.28,7,8,10,0.37,0,S
2023-11-17 19:27:30,8.09,869.09,46.49,10,16,17,0.45,0,W
2023-11-17 19:42:30,7.53,869.01,49.4,10,14,15,0.03,0,SW
2023-11-17 19:57:30,7.62,869.11,47.65,4,6,6,0.14,0,SW
2023-11-17 20:12:30,8.08,868.95,44.9,5,8,8,0.1,0,W
2023-11-17 20:27:30,7.93,868.95,46.14,2,4,5,0.37,0,SW
2023-11-17 20:42:30,7.8,869.02,45.57,2,3,3,0.15,0,W
2023-11-17 20:57:30,7.86,869.02,46.25,2,3,4,0,0,
2023-11-17 21:12:30,7.5,869.07,47.26,2,2,3,0,0,
2023-11-17 21:27:30,7.52,869.13,46.84,3,4,4,0.38,0,SW
2023-11-17 21:42:30,7.36,869.23,48.85,3,5,5,1.21,0,W
2023-11-17 21:57:30,7.04,869.16,49.61,1,2,2,0.75,0,W
2023-11-17 22:12:30,7.28,869.28,49,2,3,3,1.05,0,W
2023-11-17 22:27:30,7.12,869.3,49.77,1,2,2,0.99,0,W
2023-11-17 22:42:30,7.11,869.39,50.3,1,3,3,0.98,0,W
2023-11-17 22:57:30,7.11,869.42,51.68,2,3,3,0.43,0,W
2023-11-17 23:12:30,6.77,869.42,54.27,3,4,4,0.26,0,W
2023-11-17 23:27:30,6.67,869.24,54.2,2,3,3,0,0,
2023-11-17 23:42:30,6.96,869.18,55.31,2,5,5,0,0,
2023-11-17 23:57:30,7.37,868.96,55.2,1,2,2,0.18,0,W
2023-11-18 0:12:30,7.46,869,55.45,2,3,3,0.55,0,W
2023-11-18 0:27:29,7.5,869.05,55.91,1,1,1,0.96,0,W
2023-11-18 0:42:29,7.32,869.12,56.47,2,3,3,0.56,0,S
2023-11-18 0:57:29,7.19,868.94,57.75,0,1,2,0.13,0,SW
2023-11-18 1:12:29,6.7,868.98,57.25,12,19,19,0.2,0,SW
2023-11-18 1:27:29,6.62,869,58.47,11,19,20,0,0,
2023-11-18 1:42:29,6.66,868.93,56.85,15,24,26,0.42,0,SW
2023-11-18 1:57:29,6.76,868.54,59.13,11,19,20,1.6,0,SE
2023-11-18 2:12:29,6.53,868.51,60.11,9,14,15,1.02,0,S
2023-11-18 2:27:29,6.2,868.75,61.61,11,18,19,0,0,
2023-11-18 2:42:29,6.22,869.1,60.08,16,26,28,0.64,0,W
2023-11-18 2:57:29,6.33,869.17,59.63,17,27,29,3.54,0,NW
2023-11-18 3:12:29,6.38,869.29,60.64,14,22,22,2.65,0,SW
2023-11-18 3:27:29,6.52,869.27,60.57,12,19,20,3.42,0,SW
